,Neural Network,KNN,Random Forest,SVM
0,0.1899999976158142,0.195,0.235,0.265
1,0.20000000298023224,0.185,0.27,0.255
2,0.2549999952316284,0.215,0.24,0.27
3,0.19499999284744263,0.21,0.205,0.17
4,0.23499999940395355,0.245,0.315,0.235
5,0.20499999821186066,0.205,0.25,0.27
6,0.23000000417232513,0.245,0.24,0.25
7,0.20999999344348907,0.2,0.235,0.22
8,0.20000000298023224,0.205,0.255,0.26
9,0.18000000715255737,0.18,0.25,0.23
10,0.20999999344348907,0.195,0.21,0.26
11,0.20000000298023224,0.215,0.245,0.19
12,0.23499999940395355,0.19,0.295,0.24
13,0.2150000035762787,0.19,0.315,0.265
14,0.14499999582767487,0.21,0.27,0.225
15,0.1850000023841858,0.14,0.245,0.2
16,0.1850000023841858,0.205,0.24,0.245
17,0.20499999821186066,0.21,0.22,0.21
18,0.16500000655651093,0.19,0.215,0.25
19,0.22499999403953552,0.27,0.26,0.255
20,0.23499999940395355,0.19,0.22,0.205
21,0.22499999403953552,0.195,0.215,0.26
22,0.20499999821186066,0.215,0.27,0.285
23,0.20000000298023224,0.215,0.265,0.25
24,0.1899999976158142,0.21,0.28,0.21
25,0.20499999821186066,0.21,0.27,0.24
26,0.2199999988079071,0.18,0.215,0.25
27,0.20999999344348907,0.255,0.25,0.22
28,0.19499999284744263,0.165,0.24,0.24
29,0.18000000715255737,0.185,0.215,0.23
30,0.19499999284744263,0.235,0.27,0.195
31,0.20999999344348907,0.18,0.29,0.23
32,0.23499999940395355,0.2,0.255,0.215
33,0.20499999821186066,0.195,0.27,0.24
34,0.2199999988079071,0.225,0.285,0.265
35,0.20000000298023224,0.19,0.265,0.2
36,0.20999999344348907,0.2,0.24,0.235
37,0.1550000011920929,0.195,0.275,0.17
38,0.23999999463558197,0.195,0.225,0.22
39,0.20499999821186066,0.19,0.205,0.27
40,0.17000000178813934,0.2,0.265,0.21
41,0.19499999284744263,0.17,0.245,0.295
42,0.16500000655651093,0.21,0.25,0.22
43,0.20999999344348907,0.22,0.265,0.265
44,0.2199999988079071,0.185,0.265,0.24
45,0.20999999344348907,0.205,0.22,0.255
46,0.18000000715255737,0.2,0.25,0.245
47,0.23999999463558197,0.185,0.265,0.275
48,0.17499999701976776,0.2,0.235,0.25
49,0.2199999988079071,0.225,0.265,0.24
50,0.2199999988079071,0.2,0.27,0.19
